year,computer_science_lambda1,computer_science_n,mathematics_lambda1,mathematics_n,condensed_matter_lambda1,condensed_matter_n,phase_transition_lambda1,phase_transition_n,stochastic_process_lambda1,stochastic_process_n,dynamical_systems_lambda1,dynamical_systems_n,complex_systems_lambda1,complex_systems_n,statistical_mechanics_lambda1,statistical_mechanics_n,self_org_criticality_lambda1,self_org_criticality_n,network_science_lambda1,network_science_n,econophysics_lambda1,econophysics_n,information_theory_lambda1,information_theory_n
2005,20904.85,70255,4489.48,13990,4140.90,4625,302.00,283,9.68,7,69.25,76,21.25,18,33.71,44,28.41,16,0.00,0,4.46,3,22.47,18
2006,24168.44,79602,4837.85,14842,4513.30,5053,315.00,294,20.04,15,62.45,71,27.28,24,38.30,48,27.27,15,10.29,2,12.30,8,19.20,15
2007,23805.58,78083,5092.09,15560,4670.84,5229,357.53,322,17.66,14,62.62,68,25.58,26,36.94,43,20.67,10,6.00,1,0.00,0,23.46,16
2008,26297.31,85446,5729.02,17675,5126.81,5683,339.33,312,13.95,11,76.36,85,28.97,26,39.22,52,23.57,12,11.34,4,6.36,7,22.14,15
2009,28180.59,90749,5986.41,18021,5208.08,5818,382.17,339,10.33,9,66.31,78,32.86,23,38.48,38,20.44,11,8.46,3,10.14,9,35.85,22
2010,30611.28,98622,6264.07,18688,5184.09,5821,382.66,355,10.42,9,74.27,86,29.61,27,42.01,51,19.24,10,17.91,5,7.80,12,28.65,18
2011,30186.98,98570,6416.93,19238,5432.46,6135,369.97,356,20.44,18,65.45,81,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
2012,31721.70,104165,7010.65,20732,5444.32,6196,388.54,352,14.62,11,81.52,94,40.57,29,40.37,39,21.97,13,21.68,7,4.05,3,22.59,15
2013,32989.26,106237,7380.84,21954,5373.31,6061,397.25,395,16.96,13,93.08,100,35.41,35,42.74,50,13.57,8,13.82,5,9.88,14,31.93,22
2014,34755.75,111592,1601.81,4780,5330.18,6023,399.26,367,16.86,14,69.11,85,23.54,24,49.85,43,23.08,12,17.53,7,8.27,5,30.76,22
2015,37607.92,117334,6840.92,20315,5074.56,5839,346.00,361,19.32,17,73.79,87,41.13,35,49.89,50,13.64,5,18.17,7,7.18,7,24.79,18
2016,40835.69,121815,7518.62,22316,5183.32,6057,423.35,423,10.77,9,75.56,94,33.22,36,39.19,39,8.58,2,29.50,13,8.90,8,21.56,14
2017,48293.14,130560,6555.30,19817,4861.01,5709,353.64,381,11.56,11,74.60,87,43.76,39,29.82,27,8.53,4,16.98,6,1.41,2,29.15,23
2018,59163.93,146005,5073.97,15293,0.00,0,0.00,0,13.00,10,82.09,108,31.58,29,26.77,31,15.63,10,24.59,7,9.28,11,31.45,23
2019,72559.63,163532,6793.56,19650,4949.49,5704,386.01,401,14.39,7,97.84,112,28.78,34,36.84,34,15.07,7,32.26,13,6.18,4,27.96,18
2020,79323.38,171638,6845.22,19726,5290.80,6117,375.00,394,14.62,10,81.94,101,30.73,30,23.95,28,20.27,9,18.40,6,10.72,10,36.56,26
2021,86026.40,173362,6010.70,17040,5010.65,5783,388.28,389,14.54,12,97.43,112,36.25,32,28.94,22,16.71,8,16.21,8,8.35,8,28.90,22
2022,86141.25,171126,5420.26,15120,4411.80,5035,406.56,399,14.40,9,80.43,91,22.14,23,26.49,29,3.56,3,19.18,8,7.85,6,29.46,18
2023,81044.65,158992,3970.24,10878,4237.07,4775,366.40,379,6.56,4,78.17,91,21.16,35,19.39,21,9.48,4,21.57,10,8.38,4,24.07,14
