year,computer_science_lam_idx,computer_science_n_idx,computer_science_lpn_idx,computer_science_lam_per_n,mathematics_lam_idx,mathematics_n_idx,mathematics_lpn_idx,mathematics_lam_per_n,condensed_matter_lam_idx,condensed_matter_n_idx,condensed_matter_lpn_idx,condensed_matter_lam_per_n,phase_transition_lam_idx,phase_transition_n_idx,phase_transition_lpn_idx,phase_transition_lam_per_n,stochastic_process_lam_idx,stochastic_process_n_idx,stochastic_process_lpn_idx,stochastic_process_lam_per_n,dynamical_systems_lam_idx,dynamical_systems_n_idx,dynamical_systems_lpn_idx,dynamical_systems_lam_per_n,complex_systems_lam_idx,complex_systems_n_idx,complex_systems_lpn_idx,complex_systems_lam_per_n,statistical_mechanics_lam_idx,statistical_mechanics_n_idx,statistical_mechanics_lpn_idx,statistical_mechanics_lam_per_n,self_org_criticality_lam_idx,self_org_criticality_n_idx,self_org_criticality_lpn_idx,self_org_criticality_lam_per_n,network_science_lam_idx,network_science_n_idx,network_science_lpn_idx,network_science_lam_per_n,econophysics_lam_idx,econophysics_n_idx,econophysics_lpn_idx,econophysics_lam_per_n,information_theory_lam_idx,information_theory_n_idx,information_theory_lpn_idx,information_theory_lam_per_n
2005,1.000000,1.000000,1.000000,0.297557,1.000000,1.000000,1.000000,0.320906,1.000000,1.000000,1.000000,0.895330,1.000000,1.000000,1.000000,1.067138,1.000000,1.000000,1.000000,1.382857,1.000000,1.000000,1.000000,0.911184,1.000000,1.000000,1.000000,1.180556,1.000000,1.000000,1.000000,0.766136,1.000000,1.000000,1.000000,1.775625,,,,,1.000000,1.000000,1.000000,1.486667,1.000000,1.000000,1.000000,1.248333
2006,1.156116,1.133044,1.020363,0.303616,1.077597,1.060901,1.015738,0.325957,1.089932,1.092541,0.997613,0.893192,1.043046,1.038869,1.004021,1.071429,2.070248,2.142857,0.966116,1.336000,0.901805,0.934211,0.965312,0.879577,1.283765,1.333333,0.962824,1.136667,1.136161,1.090909,1.041481,0.797917,0.959873,0.937500,1.023865,1.818000,,,,5.145000,2.757848,2.666667,1.034193,1.537500,0.854473,0.833333,1.025367,1.280000
2007,1.138759,1.111423,1.024596,0.304875,1.134227,1.112223,1.019784,0.327255,1.127977,1.130595,0.997685,0.893257,1.183874,1.137809,1.040486,1.110342,1.824380,2.000000,0.912190,1.261429,0.904260,0.894737,1.010643,0.920882,1.203765,1.444444,0.833376,0.983846,1.095817,0.977273,1.121301,0.859070,0.727561,0.625000,1.164097,2.067000,,,,6.000000,0.000000,0.000000,,,1.044059,0.888889,1.174566,1.466250
2008,1.257953,1.216227,1.034308,0.307765,1.276099,1.263402,1.010049,0.324131,1.238091,1.228757,1.007596,0.902131,1.123609,1.102473,1.019171,1.087596,1.441116,1.571429,0.917074,1.268182,1.102671,1.118421,0.985918,0.898353,1.363294,1.444444,0.943819,1.114231,1.163453,1.181818,0.984460,0.754231,0.829637,0.750000,1.106183,1.964167,,,,2.835000,1.426009,2.333333,0.611147,0.908571,0.985314,0.833333,1.182377,1.476000
2009,1.348041,1.291709,1.043610,0.310533,1.333431,1.288134,1.035164,0.332191,1.257717,1.257946,0.999818,0.895167,1.265464,1.197880,1.056419,1.127345,1.067149,1.285714,0.830005,1.147778,0.957545,1.026316,0.932993,0.850128,1.546353,1.277778,1.210189,1.428696,1.141501,0.863636,1.321738,1.012632,0.719465,0.687500,1.046495,1.858182,,,,2.820000,2.273543,3.000000,0.757848,1.126667,1.595461,1.222222,1.305377,1.629545
2010,1.464315,1.403772,1.043129,0.310390,1.395277,1.335811,1.044517,0.335192,1.251923,1.258595,0.994700,0.890584,1.267086,1.254417,1.010100,1.077915,1.076446,1.285714,0.837236,1.157778,1.072491,1.131579,0.947783,0.863605,1.393412,1.500000,0.928941,1.096667,1.246218,1.159091,1.075168,0.823725,0.677226,0.625000,1.083562,1.924000,,,,3.582000,1.748879,4.000000,0.437220,0.650000,1.275033,1.000000,1.275033,1.591667
2011,1.444018,1.403032,1.029213,0.306249,1.429326,1.375125,1.039415,0.333555,1.311903,1.326486,0.989006,0.885487,1.225066,1.257951,0.973859,1.039242,2.111570,2.571429,0.821166,1.135556,0.945126,1.065789,0.886785,0.808025,0.000000,0.000000,,,0.000000,0.000000,,,0.000000,0.000000,,,,,,,0.000000,0.000000,,,0.000000,0.000000,,
2012,1.517433,1.482670,1.023446,0.304533,1.561573,1.481916,1.053753,0.338156,1.314767,1.339676,0.981407,0.878683,1.286556,1.243816,1.034362,1.103807,1.510331,1.571429,0.961119,1.329091,1.177184,1.236842,0.951766,0.867234,1.909176,1.611111,1.185006,1.398966,1.197567,0.886364,1.351102,1.035128,0.773319,0.812500,0.951778,1.690000,,,,3.097143,0.908072,1.000000,0.908072,1.350000,1.005340,0.833333,1.206409,1.506000
2013,1.578067,1.512163,1.043583,0.310525,1.644030,1.569264,1.047644,0.336196,1.297619,1.310486,0.990181,0.886539,1.315397,1.395760,0.942424,1.005696,1.752066,1.857143,0.943420,1.304615,1.344116,1.315789,1.021528,0.930800,1.666353,1.944444,0.856982,1.011714,1.267873,1.136364,1.115728,0.854800,0.477649,0.500000,0.955297,1.696250,,,,2.764000,2.215247,4.666667,0.474696,0.705714,1.421006,1.222222,1.162641,1.451364
2014,1.662569,1.588385,1.046704,0.311454,0.356792,0.341673,1.044251,0.335107,1.287203,1.302270,0.988430,0.884971,1.322053,1.296820,1.019458,1.087902,1.741736,2.000000,0.870868,1.204286,0.997978,1.118421,0.892310,0.813059,1.107765,1.333333,0.830824,0.980833,1.478790,0.977273,1.513180,1.159302,0.812390,0.750000,1.083187,1.923333,,,,2.504286,1.854260,1.666667,1.112556,1.654000,1.368936,1.222222,1.120039,1.398182
