year,tier1_lpn_idx,tier1_lam_per_n,tier2_lpn_idx,tier2_lam_per_n,tier3_lpn_idx,tier3_lam_per_n
2005,1.000000,0.235344,1.000000,0.788616,1.000000,0.502222
2006,1.032637,0.243025,0.988855,0.779827,1.026930,0.515747
2007,1.023530,0.240882,1.054364,0.831488,1.191277,0.598286
2008,1.027517,0.241820,0.991587,0.781982,0.987611,0.496000
2009,1.045474,0.246046,1.079984,0.851693,1.076435,0.540610
2010,1.056841,0.248721,1.017413,0.802348,1.022823,0.513684
2011,1.035434,0.243683,1.031129,0.813165,,
2012,1.028710,0.242101,1.014566,0.800103,1.120216,0.562597
2013,1.044640,0.245850,0.927937,0.731786,0.975867,0.490102
2014,1.206708,0.283992,1.033352,0.814918,1.219076,0.612247
2015,1.114095,0.262196,0.877867,0.692300,1.211626,0.608506
2016,1.155688,0.271984,0.955681,0.753665,1.091727,0.548289
2017,1.314926,0.309460,0.867543,0.684159,1.188910,0.597097
2018,1.558762,0.366845,0.737984,0.581986,0.942883,0.473537
2019,1.632447,0.384187,0.885315,0.698174,1.169801,0.587500
2020,1.706952,0.401721,0.889148,0.701196,1.039227,0.521923
2021,1.863358,0.438530,0.906920,0.715212,1.050332,0.527500
2022,1.913635,0.450363,0.987738,0.778946,1.098609,0.551746
2023,1.971895,0.464074,0.912992,0.720000,1.160127,0.582642
